:)	Smile
:-)	Smile
:)	Smile
:-]	Smile
:]	Smile
:-3	Smile
:3	Smile
:->	Smile
:>	Smile
8-)	Smile
8)	Smile
:-}	Smile
:}	Smile
:o)	Smile
:c)	Smile
:^)	Smile
=]	Smile
=)	Smile
:-D	Laugh
:D	Laugh
8-D	Laugh
8D	Laugh
x-D	Laugh
xD	Laugh
X-D	Laugh
XD	Laugh
=D	Laugh
=3	Laugh
B^D	Laugh
:-))	Very Happy
:-(	Sad
:(	Sad
:-c	Sad
:c	Sad
:-<	Sad
:<	Sad
:-[	Sad
:[	Sad
:-||	Sad
>:[	Sad
:{	Sad
:@	Sad
>:(	Sad
('_')	Sad
(/_;)	Sad
(T_T)	Sad
(;_;)	Sad
(;_;	Sad
(;_:)	Sad
(;O;)	Sad
(:_;)	Sad
(ToT)	Sad
(Ｔ▽Ｔ)	Sad
;_;	Sad
;-;	Sad
;n;	Sad
;;	Sad
Q.Q	Sad
T.T	Sad
TnT	Sad
QQ	Sad
Q_Q	Sad
(ー_ー)!!	Shame
(-.-)	Shame
(-_-)	Shame
(一一)	Shame
(；一_一)	Shame
＼(~o~)／	Exited
＼(^o^)／	Exited
＼(-o-)／	Exited
ヽ(^。^)ノ	Exited
ヽ(^o^)丿	Exited
(*^0^*)	Exited
:'-(	Crying
:'(	Crying
:'-)	Tears Happiness
:')	Tears Happiness
D-':	Disgust
D:<	Disgust
D:	Disgust
D8	Disgust
D;	Disgust
D=	Disgust
DX	Disgust
:-O	Shock
:O	Shock
:-o	Shock
:o	Shock
:-0	Shock
8-0	Shock
>:O	Shock
(￣□￣;)	Shock
°o°	Shock
°O°	Shock
:O o_O	Shock
o_0	Shock
o.O	Shock
(o.o)	Shock
oO	Shock
:-*	Kiss
:*	Kiss
:×	Kiss
;-)	Smirk
;)	Smirk
*-)	Smirk
*)	Smirk
;-]	Smirk
;]	Smirk
;^)	Smirk
:-,	Smirk
;D	Smirk
:-P	Cheeky
:P	Cheeky
X-P	Cheeky
XP	Cheeky
x-p	Cheeky
xp	Cheeky
:-p	Cheeky
:p	Cheeky
:-Þ	Cheeky
:Þ	Cheeky
:-þ	Cheeky
:þ	Cheeky
:-b	Cheeky
:b	Cheeky
d:	Cheeky
=p	Cheeky
>:P	Cheeky
:-/	Annoyed
:/	Annoyed
